config,method,lambda_eff,n_runs,pc_mean,pc_std,pc_sem,anc_mean,anc_std,anc_sem,success_rate
WS-localized,Adaptive Katz,20,100,0.5584583761562179,0.10267217680166917,0.010267217680166916,0.6869035797857579,0.03207181301593578,0.0032071813015935777,1.0
WS-localized,Adaptive TIA,1,100,0.16639260020554986,0.09103729344068433,0.009103729344068433,0.915609881071243,0.04136879388799948,0.004136879388799948,1.0
WS-localized,Adaptive TIA,2,100,0.25051387461459407,0.1345023685640222,0.01345023685640222,0.8741884020703372,0.06294813728591996,0.0062948137285919956,1.0
WS-localized,Adaptive TIA,4,100,0.3329188078108941,0.12929487695877145,0.012929487695877146,0.8265324749895443,0.06244280001862005,0.006244280001862005,1.0
WS-localized,Adaptive TIA,6,100,0.3584378211716341,0.13358400617397298,0.013358400617397298,0.8067371074575931,0.062324497586124926,0.006232449758612492,1.0
WS-localized,Adaptive TIA,8,100,0.3785611510791367,0.12334174489268898,0.012334174489268898,0.7871336714961898,0.05450616933399935,0.005450616933399935,1.0
WS-localized,Adaptive TIA,10,100,0.4161973278520042,0.11403857653297163,0.011403857653297163,0.7655469796074095,0.045946613431475505,0.00459466134314755,1.0
WS-localized,Adaptive TIA,12,100,0.40898252826310383,0.11154453811350895,0.011154453811350894,0.7601939777753998,0.04273197595790707,0.004273197595790707,1.0
WS-localized,Adaptive TIA,14,100,0.40598150051387455,0.11151955104577328,0.011151955104577328,0.7507980081005193,0.042042506547141,0.0042042506547141,1.0
WS-localized,Adaptive TIA,16,100,0.4030421377183967,0.10372456638379764,0.010372456638379764,0.7496961201227792,0.03768990370032259,0.003768990370032259,1.0
WS-localized,Adaptive TIA,18,100,0.42672147995889004,0.09574012273182908,0.009574012273182908,0.7274726863485492,0.03127225934621519,0.003127225934621519,1.0
WS-localized,Adaptive TIA,20,100,0.43985611510791367,0.1043650857359355,0.01043650857359355,0.7261167869889101,0.03595154436723942,0.0035951544367239423,1.0
WS-localized,GNN-RL,1,100,0.14142857142857143,0.06853213347732579,0.006853213347732578,0.9260153316242168,0.031557050522462465,0.0031557050522462464,1.0
WS-localized,GNN-RL,2,100,0.17911613566289822,0.08462091471664533,0.008462091471664534,0.9083344160282237,0.03873225009506416,0.003873225009506416,1.0
WS-localized,GNN-RL,4,100,0.21778006166495373,0.08696307253836909,0.008696307253836908,0.8889972775576426,0.04112843912249214,0.004112843912249213,1.0
WS-localized,GNN-RL,6,100,0.23749229188078108,0.10679394414143026,0.010679394414143025,0.8771507408549212,0.05075598860224529,0.005075598860224529,1.0
WS-localized,GNN-RL,8,100,0.2504933196300103,0.10686376707347221,0.010686376707347222,0.8682853242185844,0.05212045851453138,0.005212045851453137,1.0
WS-localized,GNN-RL,10,100,0.2813977389516958,0.10934585286737543,0.010934585286737544,0.8528376728933219,0.052801209214532366,0.005280120921453237,1.0
WS-localized,GNN-RL,12,100,0.27584789311408014,0.10657982497189009,0.010657982497189009,0.8527189223919578,0.050603731642248434,0.005060373164224844,1.0
WS-localized,GNN-RL,14,100,0.28722507708119216,0.1017342434712794,0.010173424347127941,0.8431721435535355,0.045422486500019885,0.0045422486500019885,1.0
WS-localized,GNN-RL,16,100,0.2776670092497431,0.09785706122760143,0.009785706122760144,0.8477476590351852,0.043891633025155745,0.004389163302515575,1.0
WS-localized,GNN-RL,18,100,0.30828365878725594,0.09459603110718608,0.009459603110718608,0.8313394705977053,0.04272732481999599,0.0042727324819995995,1.0
WS-localized,GNN-RL,20,100,0.32101747173689615,0.10353055976366583,0.010353055976366583,0.8247565094072216,0.0458341915698148,0.00458341915698148,1.0
