config,base_method,strategy,lambda_eff,n_sims,pc_mean,pc_sem,anc_mean,anc_sem
WS-random,TIA,Batch,16,100,0.40579650565262076,0.010235832524023334,0.74645529812542,0.003384768656928235
WS-random,TIA,Batch,18,100,0.3969989722507708,0.009608208502746525,0.7377540842654285,0.0032372631436512153
WS-random,TIA,Batch,20,100,0.4216032887975335,0.01001330098203265,0.7267122605235983,0.0032617670284200346
WS-random,GNN-RL,Fully,1,100,0.2382425488180884,0.0063238186766980216,0.870750641175023,0.002529771809888669
WS-random,GNN-RL,Fully,2,100,0.24089414182939362,0.006574477276883097,0.8704427506559813,0.0027553452449135345
WS-random,GNN-RL,Fully,4,100,0.2508016443987667,0.008225339183248349,0.8649944199306322,0.0033672566780819915
WS-random,GNN-RL,Fully,6,100,0.2760123329907503,0.008859893668629219,0.8530159875615617,0.003705698698428734
WS-random,GNN-RL,Fully,8,100,0.25909558067831456,0.00828491468831759,0.859721297533377,0.0035741525394712113
WS-random,GNN-RL,Fully,10,100,0.2831963001027749,0.009378045585542288,0.8470363798437635,0.004039491976582143
WS-random,GNN-RL,Fully,12,100,0.28710174717368964,0.009061162896525697,0.8437802015052799,0.00397085894328454
WS-random,GNN-RL,Fully,14,100,0.28465570400822204,0.009552545731018745,0.8428723894281163,0.004177777681645645
WS-random,GNN-RL,Fully,16,100,0.28458376156217885,0.009471895473364213,0.8413929744246349,0.003967679047455417
WS-random,GNN-RL,Fully,18,100,0.2862795477903392,0.00875665714601083,0.8363930917694323,0.003757092676934995
WS-random,GNN-RL,Fully,20,100,0.3068653648509763,0.009382446269764923,0.8293545726511163,0.003995802924477353
WS-random,GNN-RL,Batch,1,100,0.27759506680369994,0.007359050499891402,0.8489853043315309,0.0027713076821270794
