config,method,n_nodes,n_runs,pc_mean,pc_std,pc_sem,anc_mean,anc_std,anc_sem,success_rate
BA-localized,Adaptive TD,512,100,0.33299794661190973,0.09901975402638862,0.009901975402638862,0.6777808188627842,0.0365434822633694,0.0036543482263369396,1.0
BA-localized,Adaptive TD,1024,100,0.3688386433710174,0.09503866476142392,0.009503866476142393,0.6587636998515847,0.02887382624936328,0.002887382624936328,1.0
BA-localized,Adaptive TD,2048,100,0.36707605344296,0.09537906149415326,0.009537906149415326,0.6475303848473751,0.022996685535892635,0.0022996685535892633,1.0
BA-localized,Adaptive TD,4096,100,0.35960945529290855,0.10321397099422695,0.010321397099422695,0.6402755930630347,0.01933477120809516,0.0019334771208095159,1.0
BA-localized,Adaptive TD,8192,100,0.3611884877296674,0.09309334017104866,0.009309334017104865,0.6334879501606586,0.016160281890188526,0.0016160281890188525,1.0
BA-localized,Adaptive TD,16384,100,0.37903886925795044,0.09182936019292828,0.009182936019292829,0.6307930423876744,0.012998206604915895,0.0012998206604915895,1.0
BA-localized,Adaptive Katz,32,100,0.22741935483870968,0.10306186578449,0.010306186578449,0.830394944465257,0.06215376841397914,0.006215376841397914,1.0
BA-localized,Adaptive Katz,64,100,0.2880327868852459,0.09773723197624258,0.009773723197624259,0.7717486052734089,0.05395178641346673,0.005395178641346672,1.0
BA-localized,Adaptive Katz,128,100,0.2854918032786885,0.08646709617405911,0.00864670961740591,0.7644905465714971,0.04044780148922285,0.004044780148922285,1.0
BA-localized,Adaptive Katz,256,100,0.2851639344262295,0.0821599782518046,0.00821599782518046,0.7451171796125715,0.04166909760913984,0.004166909760913984,1.0
BA-localized,Adaptive Katz,512,100,0.28743326488706367,0.08294212770632782,0.008294212770632782,0.7202050549584598,0.031740609088758885,0.0031740609088758884,1.0
BA-localized,Adaptive Katz,1024,100,0.31180883864337106,0.0818194117695635,0.00818194117695635,0.7096956669128056,0.0301670579767206,0.00301670579767206,1.0
BA-localized,Adaptive Katz,2048,100,0.30761048304213773,0.08030681137600058,0.008030681137600058,0.7043493032956554,0.022729908861146467,0.002272990886114647,1.0
BA-localized,Adaptive Katz,4096,100,0.3002826310380267,0.08540432608510168,0.008540432608510168,0.6968146063817371,0.025020672880019548,0.002502067288001955,1.0
BA-localized,Adaptive Katz,8192,100,0.2979712193241681,0.07795789809570002,0.007795789809570001,0.6966364421895588,0.023428657102600767,0.002342865710260077,1.0
BA-localized,Adaptive Katz,16384,100,0.31092515258592995,0.07639673974211339,0.007639673974211339,0.6999631371909804,0.020444713262382844,0.0020444713262382846,1.0
BA-localized,Adaptive TIA,32,100,0.21580645161290324,0.09641816228662776,0.009641816228662777,0.8349264025904648,0.061430327084370615,0.006143032708437061,1.0
BA-localized,Adaptive TIA,64,100,0.2539344262295082,0.09263368572638701,0.009263368572638701,0.7909657491942262,0.04921658784323802,0.004921658784323802,1.0
BA-localized,Adaptive TIA,128,100,0.24999999999999997,0.07242395858375654,0.007242395858375654,0.7730468961666813,0.03930887542789471,0.0039308875427894715,1.0
BA-localized,Adaptive TIA,256,100,0.2492622950819672,0.07235987394379603,0.007235987394379603,0.7392801782001638,0.04030073478289962,0.004030073478289962,1.0
BA-localized,Adaptive TIA,512,100,0.24689938398357292,0.07778743622035811,0.007778743622035811,0.7132402732393391,0.03324775638796298,0.003324775638796298,1.0
BA-localized,Adaptive TIA,1024,100,0.26798561151079137,0.07540743594805605,0.007540743594805605,0.7077723934002569,0.032858935814498134,0.0032858935814498134,1.0
BA-localized,Adaptive TIA,2048,100,0.26017985611510785,0.07494239610670539,0.007494239610670539,0.7053258959818277,0.02795258433369316,0.002795258433369316,1.0
BA-localized,Adaptive TIA,4096,100,0.25243062692702983,0.07954828346472179,0.007954828346472178,0.6956116410399887,0.030160949580140053,0.0030160949580140053,1.0
BA-localized,Adaptive TIA,8192,100,0.2511165360400874,0.07311026060195568,0.007311026060195567,0.6932357936506396,0.026770485020981543,0.0026770485020981543,1.0
