config,method,tau,n_runs,pc_mean,pc_std,pc_sem,anc_mean,anc_std,anc_sem,success_rate
BA-random,Adaptive TIA,20.0,100,0.24570400822199379,0.07995192203659157,0.007995192203659157,0.729295957806183,0.030503614525285983,0.0030503614525285985,1.0
BA-random,Adaptive TIA,50.0,100,0.24065775950668034,0.07381010188141848,0.007381010188141848,0.7365874177310379,0.02436195866717642,0.002436195866717642,1.0
BA-random,Adaptive TIA,100.0,100,0.25208633093525185,0.0720658287158687,0.00720658287158687,0.7375111572226202,0.0299532757714405,0.00299532757714405,1.0
BA-random,GNN-RL,0.1,100,0.2429393627954779,0.06844220042548231,0.006844220042548231,0.7800523148720268,0.027373859753305557,0.0027373859753305556,1.0
BA-random,GNN-RL,0.2,100,0.2505858170606372,0.060835007562150635,0.006083500756215063,0.784315478804407,0.02675698424692095,0.002675698424692095,1.0
BA-random,GNN-RL,0.5,100,0.24714285714285716,0.0592177039224412,0.005921770392244121,0.7918367279188484,0.02156676573967173,0.002156676573967173,1.0
BA-random,GNN-RL,1.0,100,0.22356628982528268,0.05492672177139716,0.005492672177139716,0.8113210108260671,0.020630811993298876,0.0020630811993298877,1.0
BA-random,GNN-RL,2.0,100,0.1858067831449126,0.05287193853677458,0.0052871938536774585,0.8476000867265011,0.013416915792136918,0.0013416915792136919,1.0
BA-random,GNN-RL,5.0,100,0.16840698869475848,0.04328643061980402,0.004328643061980402,0.8754813402754681,0.009407719842917205,0.0009407719842917205,1.0
BA-random,GNN-RL,10.0,100,0.15501541623843781,0.04128305162296428,0.004128305162296428,0.884794015140647,0.008875265941859759,0.0008875265941859758,1.0
BA-random,GNN-RL,20.0,100,0.14682425488180884,0.04284617879624082,0.004284617879624082,0.8870421073830599,0.008812022489939033,0.0008812022489939033,1.0
BA-random,GNN-RL,50.0,100,0.1399588900308325,0.036578165392429765,0.0036578165392429766,0.891703293283877,0.00848804238404755,0.000848804238404755,1.0
BA-random,GNN-RL,100.0,100,0.14594039054470712,0.03650723819043068,0.0036507238190430684,0.8923258875768927,0.008390034769073993,0.0008390034769073993,1.0
BA-localized,Adaptive TD,0.1,100,0.4491983556012332,0.13619257640657248,0.013619257640657249,0.6065165422654133,0.03247345918580011,0.0032473459185800107,1.0
BA-localized,Adaptive TD,0.2,100,0.4649640287769784,0.12024912770545745,0.012024912770545746,0.6080262978537486,0.030240601140596155,0.0030240601140596153,1.0
BA-localized,Adaptive TD,0.5,100,0.45475847893114085,0.11200368284584145,0.011200368284584145,0.618038638146044,0.030662357959976464,0.0030662357959976463,1.0
BA-localized,Adaptive TD,1.0,100,0.41683453237410073,0.10116813653956808,0.010116813653956808,0.6244003224380344,0.03122796700788299,0.003122796700788299,1.0
BA-localized,Adaptive TD,2.0,100,0.3865056526207605,0.10231895306777453,0.010231895306777452,0.6327601604478267,0.03088350922624426,0.0030883509226244258,1.0
