lambda_eff,config,method,move_prob,attack_ratio,n_sims,pc_mean,pc_std,pc_sem,anc_mean,anc_std,anc_sem
5,BA-localized,Adaptive TIA,0.2,0.04,500,0.38489777777777784,0.01784658683693874,0.0007981236266749596,0.7048168034712227,0.02789956171520611,0.0012477063307530297
5,BA-localized,Adaptive TIA,0.25,0.05,500,0.3846777777777778,0.015684147064338645,0.0007014163800992995,0.7056176334337119,0.024108413853212513,0.0010781610441096164
5,BA-localized,GNN-RL,0.05,0.01,500,0.3262177777777778,0.009421592222124667,0.00042134641329908106,0.8066073368464726,0.00678049755738899,0.00030323306919186125
5,BA-localized,GNN-RL,0.1,0.02,500,0.3252022222222222,0.009983249922362238,0.0004464645092554292,0.8068369989442962,0.007213757376455583,0.0003226090373389045
5,BA-localized,GNN-RL,0.15,0.03,500,0.3254088888888889,0.009710537486236534,0.00043426843834569635,0.8070419557432363,0.0070588093176939745,0.0003156795494914527
5,BA-localized,GNN-RL,0.2,0.04,500,0.32505333333333336,0.009184776454466298,0.00041075569020652286,0.806767907157619,0.0065283030044482725,0.000291954585913249
5,BA-localized,GNN-RL,0.25,0.05,500,0.3262711111111111,0.009217888138201454,0.0004122364897201485,0.8057114470611171,0.0067041187820079205,0.00029981730651605605
5,WS-random,Adaptive TD,0.05,0.01,500,0.8202533333333333,0.03311923867437732,0.0014811373807789541,0.5158935384811987,0.023512998626589874,0.001051533265678283
5,WS-random,Adaptive TD,0.1,0.02,500,0.8166577777777777,0.0343777119872961,0.0015374180182900691,0.5168519561059046,0.02377057174322185,0.0010630522856375946
5,WS-random,Adaptive TD,0.15,0.03,500,0.8132244444444443,0.035803172423062676,0.00160116654696228,0.5199223942766016,0.023883389134474665,0.0010680976327553044
5,WS-random,Adaptive TD,0.2,0.04,500,0.8186688888888889,0.03330174050988408,0.0014892991109831863,0.5167296778804009,0.02328045874166632,0.001041133765874902
5,WS-random,Adaptive TD,0.25,0.05,500,0.8211444444444443,0.03523243980786478,0.0015756426084711055,0.5151769809703992,0.02399842886332639,0.0010732423658318163
5,WS-random,Adaptive Katz,0.05,0.01,500,0.7443,0.01302727907124124,0.0005825976313031147,0.5745183985995769,0.013477782041740985,0.0006027447366251749
5,WS-random,Adaptive Katz,0.1,0.02,500,0.7442222222222221,0.012388565018188205,0.0005540334704868949,0.5744027650856262,0.013863635211080645,0.0006200006149447194
5,WS-random,Adaptive Katz,0.15,0.03,500,0.7446288888888889,0.01243166228468638,0.0005559608388375817,0.5744459981365784,0.013384388645684652,0.0005985680569805446
5,WS-random,Adaptive Katz,0.2,0.04,500,0.74452,0.013544958334978234,0.000605748951788274,0.5746298348300052,0.012992064889952176,0.0005810228052404278
5,WS-random,Adaptive Katz,0.25,0.05,500,0.7446822222222222,0.012880083390574308,0.0005760148403438025,0.5748534156873999,0.013464924727330685,0.0006021697400445846
5,WS-random,Adaptive TIA,0.05,0.01,500,0.55272,0.04763025410569253,0.0021300897193183388,0.6822860941361807,0.04533530900244069,0.002027456654208311
5,WS-random,Adaptive TIA,0.1,0.02,500,0.5503066666666666,0.04800884465837622,0.0021470208035471376,0.6849098716996657,0.04570544383059041,0.0020440095869399704
5,WS-random,Adaptive TIA,0.15,0.03,500,0.5531333333333334,0.04825359450565367,0.002157966349467039,0.6836138831250528,0.04575060376967864,0.002046029200813191
5,WS-random,Adaptive TIA,0.2,0.04,500,0.5574155555555556,0.04718829793209748,0.002110324838373654,0.6793916935666464,0.04507843709801011,0.0020159689934119793
5,WS-random,Adaptive TIA,0.25,0.05,500,0.5574088888888888,0.05171696209079991,0.0023128528564961646,0.6788950265847096,0.04845595016533489,0.0021670159696806197
5,WS-random,GNN-RL,0.05,0.01,500,0.3836822222222222,0.0282733439877018,0.0012644223821547242,0.737503542110953,0.037499823163963164,0.0016770430747768575
5,WS-random,GNN-RL,0.1,0.02,500,0.3804533333333333,0.029375759217927108,0.0013137238900390214,0.7394023078265721,0.03739953210916075,0.0016725579224553904
5,WS-random,GNN-RL,0.15,0.03,500,0.3821044444444444,0.028607405671595934,0.0012793620748320306,0.7381850588928324,0.038492545362341014,0.0017214389611437755
5,WS-random,GNN-RL,0.2,0.04,500,0.38184888888888885,0.02850754944411466,0.0012748963685795343,0.7378499599900892,0.03793714035250875,0.001696600494003198
5,WS-random,GNN-RL,0.25,0.05,500,0.37893111111111116,0.028793958471256507,0.0012877049696607093,0.7412525805688931,0.038081262595081794,0.0017030458366324587
5,WS-localized,Adaptive TD,0.05,0.01,500,0.8015133333333333,0.036118374585743046,0.001615262816210445,0.5295590947393253,0.024848092537211534,0.0011112404804882042
5,WS-localized,Adaptive TD,0.1,0.02,500,0.8010422222222221,0.03707386947070489,0.0016579938465090054,0.5296268576442091,0.024773414187950336,0.0011079007631802941
5,WS-localized,Adaptive TD,0.15,0.03,500,0.8018733333333333,0.03925333050271729,0.0017554623069468368,0.5277945362472785,0.02627948265540619,0.0011752541926202983
5,WS-localized,Adaptive TD,0.2,0.04,500,0.8009044444444444,0.036639171576704085,0.0016385535656957696,0.5285085671564455,0.024861339963889725,0.0011118329234197917
5,WS-localized,Adaptive TD,0.25,0.05,500,0.8014266666666667,0.03592095822087953,0.0016064340879763308,0.529258047695793,0.024419975472719558,0.0010920945033175697
5,WS-localized,Adaptive Katz,0.05,0.01,500,0.7391466666666667,0.025712229304408227,0.0011498858515543785,0.5771511031344635,0.01801889493877942,0.0008058294792507539
5,WS-localized,Adaptive Katz,0.1,0.02,500,0.7367711111111112,0.015294522702306147,0.0006839918489154064,0.5778350195648907,0.013672425674505013,0.0006114494645101324
5,WS-localized,Adaptive Katz,0.15,0.03,500,0.7374422222222222,0.01602755328169371,0.0007167739730173394,0.5780946012250038,0.014012236467551904,0.0006266462651649516
5,WS-localized,Adaptive Katz,0.2,0.04,500,0.7373911111111111,0.019141155195604633,0.0008560184837049049,0.5777401096371301,0.014977956179664164,0.0006698345636348425
5,WS-localized,Adaptive Katz,0.25,0.05,500,0.7366111111111111,0.015690191164081848,0.0007016866804570713,0.5788966888553807,0.013200981954674092,0.0005903658604079863
5,WS-localized,Adaptive TIA,0.05,0.01,500,0.33518444444444445,0.06011382663819048,0.0026883720550126312,0.8407852167913624,0.03533299102822674,0.0015801393957501036
