config,method,target_ratio,n_runs,pc_mean,pc_std,pc_sem,anc_mean,anc_std,anc_sem,success_rate
BA-random,Adaptive Katz,0.1,100,0.3523969631236442,0.08345916087419578,0.008345916087419577,0.6352710592476862,0.042506823892132034,0.004250682389213204,1.0
BA-random,Adaptive Katz,0.11,100,0.36838815789473695,0.08279989338383952,0.00827998933838395,0.6294670132694539,0.04641432143765969,0.004641432143765969,1.0
BA-random,Adaptive Katz,0.12,100,0.35712860310421285,0.0890956237529453,0.008909562375294531,0.6054129081208213,0.0470118963914817,0.00470118963914817,1.0
BA-random,Adaptive Katz,0.13,100,0.3762850729517397,0.0818919478288187,0.00818919478288187,0.606698776035904,0.04447059631562044,0.004447059631562044,1.0
BA-random,Adaptive Katz,0.14,100,0.37676503972758224,0.0866654297184641,0.00866654297184641,0.5878573182929506,0.05105070961730414,0.005105070961730414,1.0
BA-random,Adaptive Katz,0.15,100,0.39234213547646385,0.09092704523369524,0.009092704523369525,0.5859486975781771,0.048639331477491214,0.004863933147749121,1.0
BA-random,Adaptive TIA,0.01,100,0.14877712031558182,0.07017900321387407,0.007017900321387408,0.8782240164488203,0.023794386338455056,0.002379438633845506,1.0
BA-random,Adaptive TIA,0.02,100,0.20266932270916332,0.07127055765889376,0.0071270557658893756,0.8103688872178756,0.01962652161605848,0.001962652161605848,1.0
BA-random,Adaptive TIA,0.03,100,0.23119718309859155,0.06844059210471821,0.006844059210471822,0.7628899019470962,0.02525022406465855,0.002525022406465855,1.0
BA-random,Adaptive TIA,0.04,100,0.2383841463414634,0.0703184848933842,0.00703184848933842,0.7412322784525268,0.026134030609225825,0.0026134030609225823,1.0
BA-random,Adaptive TIA,0.05,100,0.24793422404933202,0.07401494608844522,0.007401494608844522,0.699948530005883,0.040297179753732905,0.00402971797537329,1.0
BA-random,Adaptive TIA,0.06,100,0.27418483904465213,0.07327459531726296,0.007327459531726296,0.6952046491064379,0.042116674579828865,0.0042116674579828865,1.0
BA-random,Adaptive TIA,0.07,100,0.2767051416579223,0.07729371699276616,0.007729371699276616,0.6723201208567366,0.041053587810849716,0.004105358781084972,1.0
BA-random,Adaptive TIA,0.08,100,0.27529162248144223,0.08589673094549155,0.008589673094549156,0.65827003843327,0.04733016941699795,0.004733016941699795,1.0
BA-random,Adaptive TIA,0.09,100,0.28673819742489276,0.08754735208365051,0.00875473520836505,0.6347815074798874,0.042886072509506976,0.0042886072509506976,1.0
BA-random,Adaptive TIA,0.1,100,0.31344902386117135,0.08906398016908085,0.008906398016908085,0.6245833022294434,0.04575500474806685,0.004575500474806685,1.0
BA-random,Adaptive TIA,0.11,100,0.3421929824561403,0.09752519680576756,0.009752519680576756,0.6029626988290321,0.04432544382446539,0.004432544382446539,1.0
BA-random,Adaptive TIA,0.12,100,0.33347006651884703,0.10341063768505998,0.010341063768505998,0.5802765237019498,0.04717700662388522,0.0047177006623885225,1.0
BA-random,Adaptive TIA,0.13,100,0.365746352413019,0.10430361749385711,0.01043036174938571,0.5707730377865008,0.049985000617451696,0.004998500061745169,1.0
BA-random,Adaptive TIA,0.14,100,0.37265607264472195,0.10706263493587644,0.010706263493587644,0.5460119221172038,0.05278104007077788,0.005278104007077788,1.0
BA-random,Adaptive TIA,0.15,100,0.4326865671641791,0.18150439964290174,0.018150439964290173,0.5182629378907048,0.0771866065919195,0.007718660659191951,0.94
BA-random,GNN-RL,0.01,100,0.06932938856015779,0.03339178260792406,0.003339178260792406,0.9554538008981084,0.013788462547349205,0.0013788462547349206,1.0
BA-random,GNN-RL,0.02,100,0.09655378486055778,0.03645222928166209,0.0036452229281662093,0.9359047864147942,0.013909226002468683,0.0013909226002468684,1.0
BA-random,GNN-RL,0.03,100,0.11463782696177063,0.03713551415107063,0.003713551415107063,0.9222941517015084,0.012295049447863882,0.0012295049447863882,1.0
BA-random,GNN-RL,0.04,100,0.11840447154471546,0.032267338820713,0.0032267338820712995,0.9139548134492534,0.00828772632238953,0.000828772632238953,1.0
BA-random,GNN-RL,0.05,100,0.13820143884892086,0.03831960072278995,0.003831960072278995,0.895877258907064,0.008420854511073403,0.0008420854511073403,1.0
BA-random,GNN-RL,0.06,100,0.16917964693665627,0.04334976256258654,0.004334976256258654,0.8779565706406507,0.009155312975081938,0.0009155312975081938,1.0
BA-random,GNN-RL,0.07,100,0.1829485834207764,0.04690495221523521,0.004690495221523521,0.8640170711817194,0.009340968650107355,0.0009340968650107355,1.0
BA-random,GNN-RL,0.08,100,0.19761399787910922,0.056328394449339625,0.005632839444933963,0.8457105287330987,0.010075420971267148,0.0010075420971267148,1.0
BA-random,GNN-RL,0.09,100,0.21326180257510732,0.05740596440612026,0.005740596440612026,0.8309515986721544,0.011983605794725965,0.0011983605794725965,1.0
BA-random,GNN-RL,0.1,100,0.2405531453362256,0.0620688639033551,0.0062068863903355104,0.8140077476919352,0.012627142012605693,0.0012627142012605693,1.0
BA-random,GNN-RL,0.11,100,0.26226973684210525,0.06841572723736826,0.006841572723736826,0.8011373260875989,0.013984093643483004,0.0013984093643483004,1.0
BA-random,GNN-RL,0.12,100,0.2550886917960089,0.07470985810400697,0.007470985810400697,0.7894630822909786,0.01613838230236902,0.0016138382302369018,1.0
BA-random,GNN-RL,0.13,100,0.2737037037037037,0.07051899076480998,0.007051899076480998,0.7802719887043346,0.01985334926475697,0.001985334926475697,1.0
BA-random,GNN-RL,0.14,100,0.27048808172531214,0.07574974208241354,0.007574974208241355,0.7702731355470143,0.02660478570170042,0.002660478570170042,1.0
BA-random,GNN-RL,0.15,100,0.28430539609644084,0.08025507240374144,0.008025507240374144,0.764534573505183,0.025977151985285996,0.0025977151985285994,1.0
BA-localized,Adaptive TD,0.01,100,0.2064891518737673,0.09855528295066726,0.009855528295066727,0.8459154933802069,0.03962266601863964,0.003962266601863964,1.0
BA-localized,Adaptive TD,0.02,100,0.27770916334661355,0.09125260578683707,0.009125260578683706,0.772687194151205,0.030714419993341936,0.003071441999334194,1.0
BA-localized,Adaptive TD,0.03,100,0.312907444668008,0.08871967028950842,0.008871967028950841,0.728444756443359,0.02389918173957941,0.002389918173957941,1.0
BA-localized,Adaptive TD,0.04,100,0.32957317073170733,0.08984872137376523,0.008984872137376523,0.6970763317129108,0.028385657095777655,0.0028385657095777654,1.0
BA-localized,Adaptive TD,0.05,100,0.3435868448098664,0.09342333148579995,0.009342333148579995,0.6522667956848279,0.030662715834673216,0.0030662715834673215,1.0
BA-localized,Adaptive TD,0.06,100,0.3891173416407061,0.09734393375860437,0.009734393375860437,0.6324286744759455,0.031244106707275475,0.0031244106707275475,1.0
BA-localized,Adaptive TD,0.07,100,0.38629590766002087,0.09755203893272023,0.009755203893272023,0.6142610068860181,0.03965705287218285,0.0039657052872182855,1.0
BA-localized,Adaptive TD,0.08,100,0.39167550371155885,0.10809079568077279,0.010809079568077279,0.5898345900292861,0.038542862213794014,0.0038542862213794015,1.0
BA-localized,Adaptive TD,0.09,100,0.39631974248927043,0.10004346793761344,0.010004346793761344,0.5712388415606591,0.046644601754359534,0.004664460175435954,1.0
BA-localized,Adaptive TD,0.1,100,0.4281019522776572,0.10059842015167209,0.010059842015167209,0.5592136040052433,0.041272038575226516,0.004127203857522651,1.0
BA-localized,Adaptive TD,0.11,100,0.45146929824561405,0.10263914867495844,0.010263914867495843,0.5451879968823421,0.046682401913654206,0.004668240191365421,1.0
BA-localized,Adaptive TD,0.12,100,0.43498891352549895,0.11058551532112489,0.01105855153211249,0.530140077254335,0.04504871081279741,0.004504871081279741,1.0
BA-localized,Adaptive TD,0.13,100,0.4615488215488216,0.10178987209291362,0.010178987209291362,0.5186656929293304,0.04182267426156941,0.004182267426156941,1.0
BA-localized,Adaptive TD,0.14,100,0.46114642451759363,0.10631950232738843,0.010631950232738843,0.5082886557567058,0.046867239684447067,0.004686723968444707,1.0
BA-localized,Adaptive TD,0.15,100,0.48482204362801373,0.11289750361530988,0.011289750361530989,0.4994404845152253,0.04642885426557606,0.004642885426557606,1.0
BA-localized,Adaptive Katz,0.01,100,0.18418145956607496,0.08508077877806866,0.008508077877806866,0.860035707766596,0.02678187810628333,0.002678187810628333,1.0
BA-localized,Adaptive Katz,0.02,100,0.24450199203187253,0.08185329986631436,0.008185329986631436,0.7993420117379564,0.018263505217679946,0.0018263505217679947,1.0
BA-localized,Adaptive Katz,0.03,100,0.2720120724346076,0.07656626720116114,0.007656626720116114,0.7641607560861442,0.017758028569276222,0.0017758028569276221,1.0
BA-localized,Adaptive Katz,0.04,100,0.28282520325203253,0.07677204874456653,0.007677204874456653,0.7382669149640344,0.024487692296296035,0.0024487692296296035,1.0
BA-localized,Adaptive Katz,0.05,100,0.2922302158273381,0.08018106924259842,0.008018106924259843,0.7029713435980577,0.033047468935739045,0.0033047468935739044,1.0
BA-localized,Adaptive Katz,0.06,100,0.3243302180685358,0.08118425687377821,0.008118425687377822,0.6932411276597047,0.03300322361186419,0.003300322361186419,1.0
BA-localized,Adaptive Katz,0.07,100,0.325215110178384,0.08166326652366562,0.008166326652366562,0.6749219334595815,0.035583870446265535,0.0035583870446265534,1.0
BA-localized,Adaptive Katz,0.08,100,0.3252067868504772,0.09035655024934097,0.009035655024934097,0.6586889867828435,0.03844754469685094,0.003844754469685094,1.0
BA-localized,Adaptive Katz,0.09,100,0.3301394849785408,0.08359872968776556,0.008359872968776556,0.6429917112625012,0.03925632963876175,0.003925632963876175,1.0
BA-localized,Adaptive Katz,0.1,100,0.35079175704989163,0.08719542921370858,0.008719542921370858,0.6414284972094417,0.03715600337002344,0.0037156003370023443,1.0
BA-localized,Adaptive Katz,0.11,100,0.3695723684210526,0.08674810156202421,0.00867481015620242,0.6290372873210714,0.03828157363935144,0.0038281573639351437,1.0
BA-localized,Adaptive Katz,0.12,100,0.35490022172949004,0.08825032588651227,0.008825032588651227,0.6120880224066445,0.044458657898975434,0.0044458657898975434,1.0
BA-localized,Adaptive Katz,0.13,100,0.374736251402918,0.08314474460322852,0.008314474460322852,0.6103806199716612,0.03939426357817366,0.003939426357817366,1.0
BA-localized,Adaptive Katz,0.14,100,0.37530079455164583,0.08908406134437662,0.008908406134437661,0.5969502244541607,0.03994334142432341,0.003994334142432341,1.0
BA-localized,Adaptive Katz,0.15,100,0.39256027554535017,0.0941754143157376,0.00941754143157376,0.5927246336139556,0.040566306011269655,0.004056630601126965,1.0
BA-localized,Adaptive TIA,0.01,100,0.1482938856015779,0.07000745162892508,0.007000745162892508,0.8789048023326458,0.023978727707529575,0.0023978727707529577,1.0
BA-localized,Adaptive TIA,0.02,100,0.2017231075697211,0.06911424197654889,0.006911424197654889,0.8103246484490592,0.018576044336312034,0.0018576044336312033,1.0
BA-localized,Adaptive TIA,0.03,100,0.2307344064386318,0.06843063600655148,0.006843063600655149,0.7653540260282509,0.022451532046759065,0.0022451532046759066,1.0
BA-localized,Adaptive TIA,0.04,100,0.23742886178861788,0.0699390295586694,0.00699390295586694,0.7423527056734406,0.025504783291992076,0.0025504783291992075,1.0
BA-localized,Adaptive TIA,0.05,100,0.24684480986639265,0.07539721049156263,0.007539721049156263,0.7023305840807886,0.03629959422339785,0.0036299594223397854,1.0
BA-localized,Adaptive TIA,0.06,100,0.27483904465212877,0.07564886097892744,0.007564886097892744,0.6983664220461827,0.034043795274834095,0.0034043795274834093,1.0
BA-localized,Adaptive TIA,0.07,100,0.2771143756558237,0.07837963875315272,0.007837963875315272,0.672727761725723,0.04063518850587585,0.004063518850587585,1.0
